rank,experiment_id,macro_f1,accuracy,weighted_f1,n_unparseable,selected_epoch,learning_rate,lora_r,lora_alpha,lora_dropout,target_modules,prompt_variant,max_input_chars,summary_path
1,rs007_lr1e-4_r16_a32_d00_all_full_c2500,0.7735521649737337,0.7698412698412699,0.7665259369741163,0,3.0,0.0001,16,32,0.0,all,full,2500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs007_lr1e-4_r16_a32_d00_all_full_c2500/screen/screen_summary.json
2,rs001_lr2e-4_r16_a32_d00_attn_full_c1500,0.7638546993062846,0.7698412698412699,0.7645655566743783,0,5.0,0.0002,16,32,0.0,attention,full,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs001_lr2e-4_r16_a32_d00_attn_full_c1500/screen/screen_summary.json
3,rs009_lr1e-4_r64_a64_d00_all_cmp_c2000,0.7573558128785112,0.753968253968254,0.755035564950618,0,3.0,0.0001,64,64,0.0,all,compact,2000,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs009_lr1e-4_r64_a64_d00_all_cmp_c2000/screen/screen_summary.json
4,rs005_lr2e-4_r16_a16_d05_all_tgt_c1500,0.7541675864296723,0.746031746031746,0.7428285873736467,1,3.0,0.0002,16,16,0.05,all,targeted,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs005_lr2e-4_r16_a16_d05_all_tgt_c1500/screen/screen_summary.json
5,rs002_lr2e-4_r8_a16_d10_attn_cmp_c1500,0.7510496717670735,0.753968253968254,0.7463168249529779,0,5.0,0.0002,8,16,0.1,attention,compact,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs002_lr2e-4_r8_a16_d10_attn_cmp_c1500/screen/screen_summary.json
6,rs000_lr5e-5_r8_a8_d00_attn_cmp_c1500,0.7499395456545558,0.746031746031746,0.74460558169628,0,4.0,5e-05,8,8,0.0,attention,compact,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs000_lr5e-5_r8_a8_d00_attn_cmp_c1500/screen/screen_summary.json
7,rs008_lr2e-5_r64_a64_d05_attn_full_c1500,0.7405192742680732,0.746031746031746,0.7434344658433023,0,4.0,2e-05,64,64,0.05,attention,full,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs008_lr2e-5_r64_a64_d05_attn_full_c1500/screen/screen_summary.json
8,rs011_lr5e-5_r8_a8_d00_all_full_c1500,0.7343921348793913,0.7380952380952381,0.736429943549598,0,4.0,5e-05,8,8,0.0,all,full,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs011_lr5e-5_r8_a8_d00_all_full_c1500/screen/screen_summary.json
9,rs010_lr2e-5_r16_a16_d05_all_tgt_c2000,0.7330495422867985,0.7301587301587301,0.7303918987020294,0,4.0,2e-05,16,16,0.05,all,targeted,2000,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs010_lr2e-5_r16_a16_d05_all_tgt_c2000/screen/screen_summary.json
10,rs004_lr5e-5_r8_a8_d10_all_cmp_c1500,0.726405567046276,0.7301587301587301,0.7276518412962796,0,4.0,5e-05,8,8,0.1,all,compact,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs004_lr5e-5_r8_a8_d10_all_cmp_c1500/screen/screen_summary.json
11,rs003_lr2e-5_r32_a64_d10_all_full_c1500,0.7143286798159364,0.7222222222222222,0.7209509816980872,0,3.0,2e-05,32,64,0.1,all,full,1500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs003_lr2e-5_r32_a64_d10_all_full_c1500/screen/screen_summary.json
12,rs006_lr2e-4_r16_a32_d00_all_ex_c2500,0.7051546198189421,0.7063492063492064,0.6956372114063017,0,3.0,0.0002,16,32,0.0,all,examples,2500,/sciclone/data10/gchewababarand/community-news-alignment/0-comm-in/LN/lora_local_news_experiments/meta-llama__Llama-3.1-8B-Instruct/rs006_lr2e-4_r16_a32_d00_all_ex_c2500/screen/screen_summary.json
